		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	LABELS	Non-targeted	Non-targeted	Fatal	Fatal	HPD	HPD	HW	HW
									
leaddaily_woi	News pressure (t+1)	0.006	0.097**	-0.047	0.083*	-0.054	0.087*	-0.038	0.080**
		(0.010)	(0.042)	(0.052)	(0.047)	(0.052)	(0.048)	(0.046)	(0.036)
									
Observations		4,025	4,025	2,485	2,485	2,483	2,483	2,449	2,449
p value		0.0357	0.0357	0.147	0.147	0.123	0.123	0.0916	0.0916
Standard errors in parentheses									
*** p<0.01, ** p<0.05, * p<0.1									
