date_parsed,program_title,station,top3_nonconf_min,all_nonconf_min,news_pressure_uncorrected,news_pressure_corrected,conflict_any,conflict_total_min,n_stories
2000-01-03,ABC Evening News,ABC,5.166666666666667,25.833333333333332,5.166666666666667,6.0,1.0,1.8333333333333333,18.0
2000-01-03,CBS Evening News,CBS,5.5,26.666666666666668,5.5,6.1875,1.0,1.8333333333333333,23.0
2000-01-04,ABC Evening News,ABC,5.833333333333334,27.500000000000004,5.833333333333334,6.363636363636364,1.0,0.3333333333333333,21.0
2000-01-04,CBS Evening News,CBS,6.333333333333334,27.5,6.333333333333334,6.90909090909091,1.0,0.3333333333333333,22.0
2000-01-05,ABC Evening News,ABC,7.333333333333333,27.833333333333332,7.333333333333333,7.904191616766467,0.0,0.0,14.0
2000-01-05,CBS Evening News,CBS,5.666666666666666,28.000000000000004,5.666666666666666,6.071428571428569,1.0,0.3333333333333333,20.0
2000-01-06,ABC Evening News,ABC,5.0,27.500000000000007,5.0,5.454545454545453,1.0,0.16666666666666666,23.0
2000-01-06,CBS Evening News,CBS,5.666666666666667,25.666666666666668,5.666666666666667,6.623376623376623,1.0,2.1666666666666665,22.0
2000-01-07,ABC Evening News,ABC,5.166666666666667,27.833333333333336,5.166666666666667,5.568862275449101,0.0,0.0,20.0
2000-01-07,CBS Evening News,CBS,4.666666666666667,27.500000000000004,4.666666666666667,5.09090909090909,1.0,0.3333333333333333,21.0
2000-01-09,ABC Evening News,ABC,3.833333333333333,24.666666666666664,3.833333333333333,4.662162162162162,0.0,0.0,20.0
2000-01-10,ABC Evening News,ABC,7.333333333333333,27.333333333333332,7.333333333333333,8.048780487804878,1.0,0.16666666666666666,16.0
2000-01-10,CBS Evening News,CBS,6.0,27.833333333333332,6.0,6.467065868263473,1.0,0.5,19.0
2000-01-11,ABC Evening News,ABC,4.666666666666666,27.666666666666668,4.666666666666666,5.060240963855421,0.0,0.0,23.0
2000-01-11,CBS Evening News,CBS,4.833333333333333,28.000000000000004,4.833333333333333,5.178571428571428,0.0,0.0,23.0
2000-01-12,ABC Evening News,ABC,5.5,27.833333333333332,5.5,5.92814371257485,0.0,0.0,22.0
2000-01-12,CBS Evening News,CBS,3.6666666666666665,28.166666666666668,3.6666666666666665,3.905325443786982,0.0,0.0,22.0
2000-01-13,ABC Evening News,ABC,5.833333333333334,28.000000000000004,5.833333333333334,6.25,0.0,0.0,22.0
2000-01-13,CBS Evening News,CBS,6.666666666666667,28.16666666666667,6.666666666666667,7.10059171597633,0.0,0.0,22.0
2000-01-14,ABC Evening News,ABC,5.833333333333333,28.0,5.833333333333333,6.25,0.0,0.0,19.0
2000-01-14,CBS Evening News,CBS,3.0,27.833333333333332,3.0,3.2335329341317367,0.0,0.0,20.0
2000-01-15,ABC Evening News,ABC,7.833333333333333,28.666666666666668,7.833333333333333,8.19767441860465,0.0,0.0,19.0
2000-01-16,ABC Evening News,ABC,2.6666666666666665,27.333333333333336,2.6666666666666665,2.926829268292683,1.0,1.0,21.0
